ts,cwnd,rtx,txq,if,rcvd
7.480000,3,0,1301,3,2
7.500000,3,0,1298,3,2
7.520000,3,0,1295,3,2
7.540000,3,0,1292,3,2
7.560000,3,0,1289,3,2
7.580000,3,0,1287,3,2
7.600000,3,0,1284,3,2
7.620000,3,0,1281,3,2
7.640000,3,0,1278,3,2
7.660000,3,0,1276,3,2
7.680000,3,0,1273,3,2
7.700000,3,0,1270,3,2
7.720000,3,0,1267,3,2
7.740000,3,0,1264,3,2
7.760000,3,0,1262,3,2
7.780000,3,0,1259,3,2
7.800000,3,0,1256,3,2
7.820000,3,0,1253,3,2
7.840000,3,0,1251,3,2
7.860000,3,0,1248,3,2
7.880000,3,0,1245,3,2
7.900000,3,0,1242,3,2
7.920000,3,0,1239,3,2
7.940000,3,0,1237,3,2
7.960000,3,0,1234,3,2
7.980000,3,0,1231,3,2
8.000000,3,0,1228,3,2
8.020000,3,0,1226,3,2
8.040000,3,0,1223,3,2
8.060000,3,0,1220,3,2
8.080000,3,0,1217,3,2
8.100000,3,0,1214,3,2
8.120000,3,0,1212,3,2
8.140000,3,0,1209,3,2
8.160000,3,0,1206,3,2
8.180000,3,0,1203,3,2
8.200000,3,0,1201,3,2
8.220000,3,0,1198,3,2
8.240000,3,0,1195,3,2
8.260000,3,0,1192,3,2
8.280000,3,0,1189,3,2
8.300000,3,0,1187,3,2
8.320000,3,0,1184,3,2
8.340000,3,0,1181,3,2
8.360000,3,0,1178,3,2
8.380000,3,0,1176,3,2
8.400000,3,0,1173,3,2
8.420000,3,0,1170,3,2
8.440000,3,0,1167,3,2
8.460000,3,0,1164,3,2
8.480000,3,0,1162,3,2
8.500000,3,0,1159,3,2
8.520000,3,0,1156,3,2
8.540000,3,0,1153,3,2
8.560000,3,0,1151,3,2
8.580000,3,0,1148,3,2
8.600000,3,0,1145,3,2
8.620000,3,0,1142,3,2
8.640000,3,0,1139,3,2
8.660000,3,0,1137,3,2
8.680000,3,0,1134,3,2
8.700000,3,0,1131,3,2
8.720000,3,0,1128,3,2
8.740000,3,0,1126,3,2
8.760000,3,0,1123,3,2
8.780000,3,0,1120,3,2
8.800000,3,0,1117,3,2
8.820000,3,0,1114,3,2
8.840000,3,0,1112,3,2
8.860000,3,0,1109,3,2
8.880000,3,0,1106,3,2
8.900000,3,0,1103,3,2
8.920000,3,0,1101,3,2
8.940000,3,0,1098,3,2
8.960000,3,0,1095,3,2
8.980000,3,0,1092,3,2
9.000000,3,0,1089,3,2
9.020000,3,0,1087,3,2
9.040000,3,0,1084,3,2
9.060000,3,0,1081,3,2
9.080000,3,0,1078,3,2
9.100000,3,0,1076,3,2
9.120000,3,0,1073,3,2
9.140000,3,0,1070,3,2
9.160000,3,0,1067,3,2
9.180000,3,0,1064,3,2
9.200000,3,0,1062,3,2
9.220000,3,0,1059,3,2
9.240000,3,0,1056,3,2
9.260000,3,0,1053,3,2
9.280000,3,0,1051,3,2
9.300000,3,0,1048,3,2
9.320000,3,0,1045,3,2
9.340000,3,0,1042,3,2
9.360000,3,0,1039,3,2
9.380000,3,0,1037,3,2
9.400000,3,0,1034,3,2
9.420000,3,0,1031,3,2
9.440000,3,0,1028,3,2
9.460000,3,0,1026,3,2
9.480000,3,0,1023,3,2
9.500000,3,0,1020,3,2
9.520000,3,0,1017,3,2
9.540000,3,0,1014,3,2
9.560000,3,0,1012,3,2
9.580000,3,0,1009,3,2
9.600000,3,0,1006,3,2
9.620000,3,0,1003,3,2
9.640000,3,0,1001,3,2
9.660000,3,0,998,3,2
9.680000,3,0,995,3,2
9.700000,3,0,992,3,2
9.720000,3,0,989,3,2
9.740000,3,0,987,3,2
9.760000,3,0,984,3,2
9.780000,3,0,981,3,2
9.800000,3,0,978,3,2
9.820000,3,0,976,3,2
9.840000,3,0,973,3,2
9.860000,3,0,970,3,2
9.880000,3,0,967,3,2
9.900000,3,0,964,3,2
9.920000,3,0,962,3,2
9.940000,3,0,959,3,2
9.960000,3,0,956,3,2
9.980000,3,0,953,3,2
10.000000,3,0,951,3,2
10.020000,3,0,948,3,2
10.040000,3,0,945,3,2
10.060000,3,0,942,3,2
10.080000,3,0,939,3,2
10.100000,3,0,937,3,2
10.120000,3,0,934,3,2
10.140000,3,0,931,3,2
10.160000,3,0,928,3,2
10.180000,3,0,926,3,2
10.200000,3,0,923,3,2
10.220000,3,0,920,3,2
10.240000,3,0,917,3,2
10.260000,3,0,914,3,2
10.280000,3,0,912,3,2
10.300000,3,0,909,3,2
10.320000,3,0,906,3,2
10.340000,3,0,903,3,2
10.360000,3,0,901,3,2
10.380000,3,0,898,3,2
10.400000,3,0,895,3,2
10.420000,3,0,892,3,2
10.440000,3,0,889,3,2
10.460000,3,0,887,3,2
10.480000,3,0,884,3,2
10.500000,3,0,881,3,2
