ts,cwnd,rtx,txq,if,rcvd
4.640000,3000,0,1819,2463,0
4.660000,3000,0,1816,2463,0
4.680000,3000,0,1813,2463,0
4.700000,3000,0,1811,2463,0
4.720000,3000,0,1808,2463,0
4.740000,3000,0,1805,2463,0
4.760000,3000,0,1802,2463,0
4.780000,3000,0,1800,2463,0
4.800000,3000,0,1797,2463,0
4.820000,3000,0,1794,2463,0
4.840000,3000,0,1791,2463,0
4.860000,3000,0,1788,2463,0
4.880000,3000,0,1786,2463,0
4.900000,3000,0,1783,2463,0
4.920000,3000,0,1780,2463,0
4.940000,3001,0,1777,2100,1
4.960000,3002,0,1775,2095,2
4.980000,3002,0,1772,2095,2
5.000000,3002,0,1769,2095,2
5.020000,3002,0,1766,2095,2
5.040000,3002,0,1763,2095,2
5.060000,3002,0,1761,2095,2
5.080000,3002,0,1758,2095,2
5.100000,3002,0,1755,2095,2
5.120000,3002,0,1752,2095,2
5.140000,3002,0,1750,2095,2
5.160000,3002,0,1747,2095,2
5.180000,3002,0,1744,2095,2
5.200000,3002,0,1741,2095,2
5.220000,3002,0,1738,2095,2
5.240000,3002,0,1736,2095,2
5.260000,3002,0,1733,2095,2
5.280000,3002,0,1730,2095,2
5.300000,3002,0,1727,2095,2
5.320000,3002,0,1725,2095,2
5.340000,3002,0,1722,2095,2
5.360000,3002,0,1719,2095,2
5.380000,3002,0,1716,2095,2
5.400000,3002,0,1713,2095,2
5.420000,3002,0,1711,2095,2
5.440000,3002,0,1708,2095,2
5.460000,3002,0,1705,2095,2
5.480000,3002,0,1702,2095,2
5.500000,3002,0,1700,2095,2
5.520000,3002,0,1697,2095,2
5.540000,3002,0,1694,2095,2
5.560000,3002,0,1691,2095,2
5.580000,3002,0,1688,2095,2
5.600000,3002,0,1686,2095,2
5.620000,3002,0,1683,2095,2
5.640000,3002,0,1680,2095,2
5.660000,3002,0,1677,2095,2
5.680000,3002,0,1675,2095,2
5.700000,3002,0,1672,2095,2
5.720000,3002,0,1669,2095,2
5.740000,3002,0,1666,2095,2
